;Модель;Год;Цена;Пробег;Регион;Дата;Рейтинг;Объем;Мощность;Коробка;Тип двигателя;Топливо;Привод;Разгон;Страна марки;Количество дверей;Количество мест;Длина;Ширина;Высота;Колёсная база;Объем багажника мин/макс, л;Снаряженная масса, кг;Коробка передач;Количество передач;Тип привода;Тип передней подвески;Тип задней подвески;Передние тормоза;Задние тормоза;Максимальная скорость, км/ч;Разгон до 100 км/ч, с;Марка топлива;Расположение двигателя;Объем двигателя, см³;Тип наддува;Максимальная мощность, л.с./кВт при об/мин;Максимальный крутящий момент, Н*м при об/мин;Расположение цилиндров;Количество цилиндров;Число клапанов на цилиндр;Система питания двигателя;Степень сжатия;Диаметр цилиндра и ход поршня, мм
0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1; Nissan Murano III (Z52)  ; 2017 ; 2 130 000 ; Нов;" Москва
"; 23 апреля; 4,8; 3.5 л; 249 л.с.; вариатор; бензин; АИ-95; полный; 8.2 с; Япония; 5; 5; 4898; 1915; 1691; 2824; 454/1603; 1818; вариатор;; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 210; 8.2; АИ-95; переднее, поперечное; 3498; нет; 249 / 186 при 6400; 325 при 4400; V-образное; 6; 4; распределенный впрыск (многоточечный); 10.3; 96 × 81
2; Nissan Teana II  ; 2010 ;630 000 ; 155 000 ;" Нефтекамск
"; 16 октября 2017; 4,4; 3.5 л; 249 л.с.; вариатор; бензин; АИ-95; передний; 7.2 с; Япония; 4; 5; 4845; 1765; 1475; 2775; 476; 1590; вариатор;; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 210; 7.2; АИ-95; переднее, поперечное; 3498; нет; 249 / 183 при 6000; 326 при 4400; V-образное; 6; 4; распределенный впрыск (многоточечный); 10.3; 95.5 × 81.4
3; Nissan Pathfinder III  ; 2006 ;600 000 ; 124 000 ;" Владимир
"; 21 апреля; 4,2; 2.5 л; 174 л.с.; механика; дизель; ДТ; полный; 12.3 с; Япония; 5; 5, 7; 4890; 1850; 1839; 2850; 515/2091; 2135; механика; 6; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 175; 12.3; ДТ; переднее, продольное; 2488; турбонаддув; 174 / 128 при 4000; 403 при 2000; рядное; 4; 4; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива); 16.5; 89 × 100
4; Nissan X-Trail II Рестайлинг  ; 2011 ;800 000 ; 131 600 ;" Москва
"; 22 апреля; 4,5; 2.0 л; 141 л.с.; вариатор; бензин; АИ-95; полный; 11.9 с; Япония; 5; 5; 4636; 1790; 1700; 2630; 479/1773; 1514; вариатор;; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 169; 11.9; АИ-95; переднее, поперечное; 1997; нет; 141 / 104 при 6000; 196 при 4800; рядное; 4; 4; распределенный впрыск (многоточечный);; 
5; Nissan Qashqai I Рестайлинг  ; 2011 ; 710 000 ; 122 001 ;" Санкт-Петербург
"; 18 апреля; 4,1; 2.0 л; 141 л.с.; вариатор; бензин; АИ-95; полный; 11.3 с; Япония; 5; 5; 4330; 1780; 1615; 2630; 400/1513; 1454; вариатор;; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 181; 11.3; АИ-95; переднее, поперечное; 1997; нет; 141 / 104 при 6000; 196 при 4800; рядное; 4; 4; распределенный впрыск (многоточечный); 10.2; 84 × 90.1
6; Nissan X-Trail II  ; 2008 ; 747 000 ; 120 000 ;" Москва
"; 24 апреля; 4,3; 2.5 л; 170 л.с.; вариатор; бензин; АИ-95; полный; 10.3 с; Япония; 5; 5; 4630; 1785; 1685; 2630; 603/1773; 1623; вариатор;; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 185; 10.3; АИ-95; переднее, поперечное; 2488; нет; 170 / 125 при 6000; 230 при 4400; рядное; 4; 4; распределенный впрыск (многоточечный); 9.6; 89 × 100
7; Nissan Micra III (K12)  ; 2006 ;395 000 ; 39 824 ;" Санкт-Петербург
"; 21 апреля; 4,3; 1.4 л; 88 л.с.; автомат; бензин; АИ-95; передний; 15 с; Япония; 5; 5; 3715; 1660; 1540; 2430; 251/982; 1010; автомат; 4; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; барабанные; 158; 15; АИ-95; переднее, поперечное; 1386; нет; 88 / 65 при 5200; 128 при 3200; рядное; 4; 4; распределенный впрыск (многоточечный); 9.9; 73 × 82.8
8; Nissan Juke I  ; 2012 ; 660 000 ; 94 500 ;" Москва
"; 18 апреля; 4,2; 1.6 л; 117 л.с.; вариатор; бензин; АИ-95; передний; 11.5 с; Япония; 5; 5; 4135; 1765; 1565; 2530; 251/830; 1225; вариатор;; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; дисковые; 170; 11.5; АИ-95; переднее, поперечное; 1598; нет; 117 / 86 при 6000; 158 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 10.7; 78 × 83.6
9; Nissan Qashqai I  ; 2008 ;515 000 ; 125 430 ;" Санкт-Петербург
"; 12 апреля; 4,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10; Nissan Teana I Рестайлинг  ; 2007 ; 450 000 ; 123 000 ;" Санкт-Петербург
"; 26 октября 2017; 4,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11; Nissan X-Trail II  ; 2010 ; 695 000 ; 73 000 ;" Москва
"; 9 апреля; 4,3; 2.0 л; 140 л.с.; вариатор; бензин; АИ-95; полный; 11.9 с; Япония; 5; 5; 4630; 1785; 1685; 2630; 603/1773; 1515; вариатор;; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 172; 11.9; АИ-95; переднее, поперечное; 1997; нет; 140 / 104 при 6000; 196 при 4800; рядное; 4; 4; распределенный впрыск (многоточечный); 10.2; 84 × 90.1
12; Nissan Qashqai I  ; 2008 ; 520 000 ; 211 984 ;" Москва
"; 23 марта; 4,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13; Nissan Terrano III (D10)  ; 2017 ; 1 030 000 ; 15 000 ;" Москва
"; 24 апреля; 4,2; 2.0 л; 143 л.с.; автомат; бензин; АИ-95; полный; 11.5 с; Япония; 5; 5; 4315; 1822; 1695; 2673; 475; 1434; автомат; 4; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; барабанные; 174; 11.5; АИ-95; переднее, поперечное; 1998; нет; 143 / 105 при 5750; 195 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 11.1; 82.7 × 93
14; Nissan Qashqai II  ; 2014 ; 875 000 ; 61 092 ;" Санкт-Петербург
"; 24 марта; 4,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15; Nissan Almera Classic I  ; 2008 ; 280 000 ; 109 000 ;" Москва
"; 14 марта; 4,0; 1.6 л; 107 л.с.; автомат; бензин; АИ-95; передний; 13.9 с; Япония; 4; 5; 4510; 1710; 1440; 2535; 460; 1185; автомат; 4; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; барабанные; 177; 13.9; АИ-95; переднее, поперечное; 1596; нет; 107 / 79 при 6000; 146 при 3600; рядное; 4; 4; распределенный впрыск (многоточечный); 9.5; 76 × 88
16; Nissan Teana II  ; 2008 ; 549 000 ; 120 000 ;" Москва
"; 15 января; 4,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17; Nissan Teana III  ; 2015 ; 890 000 ; 74 326 ;" Санкт-Петербург
"; 23 апреля; 4,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18; Nissan Almera I (N15)  ; 1997 ; 95 000 ; 330 000 ;" Рязань
"; 7 февраля; 4,0; 1.6 л; 90 л.с.; механика; бензин; АИ-95; передний; 11.1 с; Япония; 4; 5; 4320; 1690; 1395; 2535; 440; 1190; механика; 5; передний; независимая, пружинная; полунезависимая, пружинная; дисковые; дисковые; 178; 11.1; АИ-95; переднее, поперечное; 1597; нет; 90 / 66 при 5600; 135 при 2800; рядное; 4; 4; распределенный впрыск (многоточечный); 9.9; 73.6 × 88
19; Nissan Qashqai I Рестайлинг  ; 2011 ; 680 000 ; 109 000 ;" Москва
"; 24 апреля; 4,1; 2.0 л; 141 л.с.; вариатор; бензин; АИ-95; полный; 11.3 с; Япония; 5; 5; 4330; 1780; 1615; 2630; 400/1513; 1454; вариатор;; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 181; 11.3; АИ-95; переднее, поперечное; 1997; нет; 141 / 104 при 6000; 196 при 4800; рядное; 4; 4; распределенный впрыск (многоточечный); 10.2; 84 × 90.1
20; Nissan Qashqai+2 I Рестайлинг  ; 2012 ; 730 000 ; 76 213 ;" Санкт-Петербург
"; 2 апреля; 4,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21; Nissan Murano II (Z51) Рестайлинг 2  ; 2013 ; 1 200 000 ; 64 000 ;" Псков
"; 6 января; 4,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22; Nissan Bluebird XI (U14)  ; 1998 ; 120 000 ; 290 000 ;" Рязань
"; 24 апреля; 4,2; 1.8 л; 125 л.с.; автомат; бензин; АИ-92; передний;; Япония; 4; 5; 4565; 1695; 1170; 2600; ; 1190; автомат; 4; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; барабанные;;; АИ-92; переднее, поперечное; 1838; нет; 125 / 92 при 6000; 156 при 4800; рядное; 4; 4; распределенный впрыск (многоточечный); 9.5; 82.5 × 86
23; Nissan Almera I (N15)  ; 1998 ; 75 000 ; 190 000 ;" Санкт-Петербург
"; 24 апреля; 4,0; 1.6 л; 99 л.с.; механика; бензин; АИ-95; передний; 11 с; Япония; 4; 5; 4320; 1690; 1395; 2535; 440; 1080; механика; 5; передний; независимая, пружинная; зависимая, пружинная; дисковые; барабанные; 180; 11; АИ-95;; 1597; нет; 99 / 73 при 6000; 136 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 9.8; 76 × 88
24; Nissan Qashqai+2 I Рестайлинг  ; 2010 ; 700 000 ; 79 000 ;" Санкт-Петербург
"; 18 мая 2017; 4,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
