;Модель;Год;Цена;Пробег;Дата;Рейтинг;Объем;Мощность;Коробка;Тип двигателя;Топливо;Привод;Разгон;Страна марки;Количество дверей;Количество мест;Длина;Ширина;Высота;Колёсная база;Объем багажника мин/макс, л;Снаряженная масса, кг;Коробка передач;Количество передач;Тип привода;Тип передней подвески;Тип задней подвески;Передние тормоза;Задние тормоза;Максимальная скорость, км/ч;Разгон до 100 км/ч, с;Марка топлива;Расположение двигателя;Объем двигателя, см³;Тип наддува;Максимальная мощность, л.с./кВт при об/мин;Максимальный крутящий момент, Н*м при об/мин;Расположение цилиндров;Количество цилиндров;Число клапанов на цилиндр;Система питания двигателя;Степень сжатия;Диаметр цилиндра и ход поршня, мм
31; Genesis G90 I  ; 2017 ; 4 100 000 ; 1 001 ; 25 марта;  ; 3.8 л; 309 л.с.; автомат; бензин; АИ-92; полный; 6.9 с; Южная Корея; 4; 4, 5; 5205; 1915; 1495; 3160; 484; 2155; автомат; 8; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 240; 6.9; АИ-92; переднее, продольное; 3778; нет; 309 / 227 при 6000; 391 при 5000; V-образное; 6; 4; непосредственный впрыск (прямой);; 
32; Genesis G90 I  ; 2016 ; 3 050 000 ; 23 629 ; 26 января;  ; 3.3 л; 370 л.с.; автомат; бензин; АИ-95; полный; 6.2 с; Южная Корея; 4; 4, 5; 5205; 1915; 1495; 3160; 484; 2265; автомат; 8; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 240; 6.2; АИ-95; переднее, продольное; 3342; турбонаддув; 370 / 272 при 6000; 510 при 1300 – 4500; V-образное; 6; 4; непосредственный впрыск (прямой); 10; 92 × 83.8
33; Genesis G90 I  ; 2016 ; 2 920 000 ; 26 340 ; 30 декабря 2017;  ; 3.3 л; 370 л.с.; автомат; бензин; АИ-95; полный; 6.2 с; Южная Корея; 4; 4, 5; 5205; 1915; 1495; 3160; 484; 2265; автомат; 8; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 240; 6.2; АИ-95; переднее, продольное; 3342; турбонаддув; 370 / 272 при 6000; 510 при 1300 – 4500; V-образное; 6; 4; непосредственный впрыск (прямой); 10; 92 × 83.8
34; Genesis G80 I  ; 2017 ; 2 037 000 ; 748 ; 14 апреля;  ; 2.0 л; 245 л.с.; автомат; бензин; АИ-95; полный; 8.6 с; Южная Корея; 4; 4, 5; 4990; 1890; 1480; 3010; 433; 2015; автомат; 8; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 237; 8.6; АИ-95; переднее, продольное; 1998; турбонаддув; 245 / 180 при 6000; 353 при 1400 – 4000; рядное; 4; 4; непосредственный впрыск (прямой);; 
35; Genesis G80 I  ; 2017 ; 2 099 000 ; 9 000 ; 26 марта;  ; 2.0 л; 245 л.с.; автомат; бензин; АИ-95; полный; 8.6 с; Южная Корея; 4; 4, 5; 4990; 1890; 1480; 3010; 433; 2015; автомат; 8; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 237; 8.6; АИ-95; переднее, продольное; 1998; турбонаддув; 245 / 180 при 6000; 353 при 1400 – 4000; рядное; 4; 4; непосредственный впрыск (прямой);; 
36; Genesis G90 I  ; 2017 ; 4 800 000 ; 5 ; 11 марта;  ; 3.3 л; 370 л.с.; автомат; бензин; АИ-95; полный; 6.2 с; Южная Корея; 4; 4, 5; 5205; 1915; 1495; 3160; 484; 2265; автомат; 8; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 240; 6.2; АИ-95; переднее, продольное; 3342; турбонаддув; 370 / 272 при 6000; 510 при 1300 – 4500; V-образное; 6; 4; непосредственный впрыск (прямой); 10; 92 × 83.8
37; Genesis G90 I  ; 2017 ; 3 500 000 ; 9 950 ; 20 октября 2017;  ; 3.3 л; 370 л.с.; автомат; бензин; АИ-95; полный; 6.2 с; Южная Корея; 4; 4, 5; 5205; 1915; 1495; 3160; 484; 2265; автомат; 8; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 240; 6.2; АИ-95; переднее, продольное; 3342; турбонаддув; 370 / 272 при 6000; 510 при 1300 – 4500; V-образное; 6; 4; непосредственный впрыск (прямой); 10; 92 × 83.8
38; Genesis G90 I  ; 2017 ; 3 500 000 ; 9 950 ; 20 октября 2017;  ; 3.3 л; 370 л.с.; автомат; бензин; АИ-95; полный; 6.2 с; Южная Корея; 4; 4, 5; 5205; 1915; 1495; 3160; 484; 2265; автомат; 8; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 240; 6.2; АИ-95; переднее, продольное; 3342; турбонаддув; 370 / 272 при 6000; 510 при 1300 – 4500; V-образное; 6; 4; непосредственный впрыск (прямой); 10; 92 × 83.8
39; Genesis G80 I  ; 2017 ; 3 390 000 ; 20 ; 9 апреля;  ; 3.3 л; 370 л.с.; автомат; бензин; АИ-95; полный; 6.2 с; Южная Корея; 4; 4, 5; 4990; 1890; 1480; 3010; 433; 2165; автомат; 8; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 240; 6.2; АИ-95; переднее, продольное; 3342; турбонаддув; 370 / 272 при 6000; 510 при 1300 – 4500; V-образное; 6; 4; непосредственный впрыск (прямой); 10; 92 × 83.8
40; Genesis G80 I  ; 2017 ; 2 600 000 ; 9 000 ; 19 апреля;  ; 2.0 л; 245 л.с.; автомат; бензин; АИ-95; полный; 8.6 с; Южная Корея; 4; 4, 5; 4990; 1890; 1480; 3010; 433; 2015; автомат; 8; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 237; 8.6; АИ-95; переднее, продольное; 1998; турбонаддув; 245 / 180 при 6000; 353 при 1400 – 4000; рядное; 4; 4; непосредственный впрыск (прямой);; 
