;Модель;Год;Цена;Пробег;Дата;Рейтинг;Объем;Мощность;Коробка;Тип двигателя;Топливо;Привод;Разгон;Страна марки;Количество дверей;Количество мест;Длина;Ширина;Высота;Колёсная база;Объем багажника мин/макс, л;Снаряженная масса, кг;Коробка передач;Количество передач;Тип привода;Тип передней подвески;Тип задней подвески;Передние тормоза;Задние тормоза;Максимальная скорость, км/ч;Разгон до 100 км/ч, с;Марка топлива;Расположение двигателя;Объем двигателя, см³;Тип наддува;Максимальная мощность, л.с./кВт при об/мин;Максимальный крутящий момент, Н*м при об/мин;Расположение цилиндров;Количество цилиндров;Число клапанов на цилиндр;Система питания двигателя;Степень сжатия;Диаметр цилиндра и ход поршня, мм
0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1; Ferrari 612 Scaglietti  ; 2004 ;4 900 000 ; 33 000 ; 21 ноября 2017;  ; 5.8 л; 540 л.с.; автомат; бензин; АИ-98; задний;; Италия; 2; 4; 4902; 1957; 1344; 2950; 240;; автомат; 6; задний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые;;; АИ-98;; 5748; нет; 540 / 397 при 7250; 589 при 5250; V-образное; 12; 4; распределенный впрыск (многоточечный); 11.2; 89 × 77
2; Ferrari FF  ; 2014 ; 10 100 000 ; 12 000 ; 23 апреля;  ; 6.3 л; 660 л.с.; робот; бензин; АИ-95; полный; 3.7 с; Италия; 3; 4; 4907; 1953; 1379; 2990; 450; 1880; робот; 7; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 335; 3.7; АИ-95; переднее, продольное; 6262; нет; 660 / 485 при 8000; 683 при 6000; V-образное; 12; 4; непосредственный впрыск (прямой); 12.3; 94 × 75.2
3; Ferrari California I  ; 2012 ; 9 200 000 ; 5 200 ; 16 апреля;  ; 4.3 л; 490 л.с.; робот; бензин; АИ-98; задний; 3.9 с; Италия; 2; 4; 4563; 1902; 1308; 2670; 240/340; 1705; робот; 7; задний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 310; 3.9; АИ-98; переднее, продольное; 4297; нет; 490 / 360 при 7750; 505 при 5000; V-образное; 8; 4; распределенный впрыск (многоточечный); 12.2; 94 × 77.4
4; Ferrari GTC4Lusso  ; 2016 ; 17 600 000 ; 6 048 ; 16 апреля;  ; 6.3 л; 690 л.с.; робот; бензин; АИ-98; полный; 3.4 с; Италия; 3; 4; 4922; 1980; 1383; 2990; 450; 1790; робот; 7; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 335; 3.4; АИ-98; переднее, продольное; 6262; нет; 690 / 507 при 8000; 697 при 5750; V-образное; 12; 4; непосредственный впрыск (прямой); 13.5; 94 × 75.2
5; Ferrari California I  ; 2011 ; 7 890 000 ; 9 700 ; 10 апреля;  ; 4.3 л; 460 л.с.; робот; бензин; АИ-98; задний; 4 с; Италия; 2; 4; 4563; 1902; 1308; 2670; 240/340; 1735; робот; 7; задний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 310; 4; АИ-98; переднее, продольное; 4297; нет; 460 / 338 при 7750; 485 при 5000; V-образное; 8; 4; непосредственный впрыск (прямой); 12.2; 94 × 77.4
6; Ferrari 488 Spider  ; 2018 ; 29 900 000 ; Нов; 13 апреля; 4,2; 3.9 л; 670 л.с.; робот; бензин; АИ-98; задний; 3 с; Италия; 2; 2; 4568; 1952; 1211; 2650; 230; 1525; робот; 7; задний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 325; 3; АИ-98; центральное; 3902; турбонаддув; 670 / 492 при 8000; 760 при 3000; V-образное; 8; 4; непосредственный впрыск (прямой); 9.4; 86.5 × 83
7; Ferrari 458 Spider  ; 2012 ; 12 500 000 ; 3 500 ; 8 апреля;  ; 4.5 л; 570 л.с.; робот; бензин; АИ-95; задний; 3.4 с; Италия; 2; 2; 4527; 1937; 1212; 2650; 230; 1535; робот; 7; задний; независимая, пружинная; независимая, пружинная; керамические вентилируемые; керамические вентилируемые; 318; 3.4; АИ-95; центральное; 4499; нет; 570 / 419 при 9000; 540 при 6000; V-образное; 8; 4; непосредственный впрыск (прямой); 12.5; 94 × 81
8; Ferrari GTC4Lusso  ; 2017 ; 16 998 890 ; 2 300 ; 3 апреля;  ; 6.3 л; 690 л.с.; робот; бензин; АИ-98; полный; 3.4 с; Италия; 3; 4; 4922; 1980; 1383; 2990; 450; 1790; робот; 7; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 335; 3.4; АИ-98; переднее, продольное; 6262; нет; 690 / 507 при 8000; 697 при 5750; V-образное; 12; 4; непосредственный впрыск (прямой); 13.5; 94 × 75.2
9; Ferrari California I  ; 2009 ; 6 100 000 ; 21 400 ; 20 апреля;  ; 4.3 л; 460 л.с.; робот; бензин; АИ-98; задний; 4 с; Италия; 2; 4; 4563; 1902; 1308; 2670; 240/340; 1735; робот; 7; задний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 310; 4; АИ-98; переднее, продольное; 4297; нет; 460 / 338 при 7750; 485 при 5000; V-образное; 8; 4; непосредственный впрыск (прямой); 12.2; 94 × 77.4
